SA2_MAINCODE_2016,GCCSA_NAME_2016,SA2_NAME_2016,STATE_NAME_2016,ADRESS,LAT,LNG
310031294,Greater Brisbane,Ripley,Queensland,"Ripley, Queensland",-27.6678521,152.7834787
310031295,Greater Brisbane,Riverview,Queensland,"Riverview, Queensland",-27.6036247,152.8495133
310041296,Greater Brisbane,Bellbird Park - Brookwater,Queensland,"Bellbird Park - Brookwater, Queensland",-27.6554921,152.8951796
310041297,Greater Brisbane,Camira - Gailes,Queensland,"Camira - Gailes, Queensland",-27.610731,152.9159265
310041298,Greater Brisbane,Carole Park,Queensland,"Carole Park, Queensland",-27.6208346,152.9346327
310041299,Greater Brisbane,Collingwood Park - Redbank,Queensland,"Collingwood Park - Redbank, Queensland",-27.6234189,152.8542416
310041300,Greater Brisbane,Goodna,Queensland,"Goodna, Queensland",-27.6078652,152.8880764
310041301,Greater Brisbane,New Chum,Queensland,"New Chum, Queensland",-27.6061129,152.8337091
310041302,Greater Brisbane,Redbank Plains,Queensland,"Redbank Plains, Queensland",-27.6511465,152.851479
310041303,Greater Brisbane,Springfield,Queensland,"Springfield, Queensland",-27.6541767,152.9170441
310041304,Greater Brisbane,Springfield Lakes,Queensland,"Springfield Lakes, Queensland",-27.6753282,152.9164643
311011305,Greater Brisbane,Beaudesert,Queensland,"Beaudesert, Queensland",-27.9882528,152.9959338
311021306,Greater Brisbane,Beenleigh,Queensland,"Beenleigh, Queensland",-27.7150151,153.1939492
311021307,Greater Brisbane,Eagleby,Queensland,"Eagleby, Queensland",-27.7025667,153.2130659
311021308,Greater Brisbane,Edens Landing - Holmview,Queensland,"Edens Landing - Holmview, Queensland",-27.7048257,153.1688438
311021309,Greater Brisbane,Mount Warren Park,Queensland,"Mount Warren Park, Queensland",-27.7319182,153.2081712
311021310,Greater Brisbane,Wolffdene - Bahrs Scrub,Queensland,"Wolffdene - Bahrs Scrub, Queensland",,
311031311,Greater Brisbane,Boronia Heights - Park Ridge,Queensland,"Boronia Heights - Park Ridge, Queensland",-27.6851293,153.0152629
311031312,Greater Brisbane,Browns Plains,Queensland,"Browns Plains, Queensland",-27.6624358,153.0527734
311031313,Greater Brisbane,Chambers Flat - Logan Reserve,Queensland,"Chambers Flat - Logan Reserve, Queensland",-27.7171102,153.0919856
311031314,Greater Brisbane,Crestmead,Queensland,"Crestmead, Queensland",-27.6883904,153.0874279
311031315,Greater Brisbane,Greenbank Military Camp,Queensland,"Greenbank Military Camp, Queensland",-27.4647125,153.0145576
311031316,Greater Brisbane,Hillcrest,Queensland,"Hillcrest, Queensland",-27.6636919,153.0246251
311031317,Greater Brisbane,Marsden,Queensland,"Marsden, Queensland",-27.6759016,153.1008972
311031318,Greater Brisbane,Munruben - Park Ridge South,Queensland,"Munruben - Park Ridge South, Queensland",-27.7276445,153.0444282
311031319,Greater Brisbane,Regents Park - Heritage Park,Queensland,"Regents Park - Heritage Park, Queensland",-27.6807414,153.0441055
311041320,Greater Brisbane,Greenbank,Queensland,"Greenbank, Queensland",-27.7054618,152.9475208
311041321,Greater Brisbane,Jimboomba,Queensland,"Jimboomba, Queensland",-27.8315534,153.0282765
311041322,Greater Brisbane,Logan Village,Queensland,"Logan Village, Queensland",-27.7786215,153.1013238
311051323,Greater Brisbane,Bethania - Waterford,Queensland,"Bethania - Waterford, Queensland",-27.6871755,153.1575364
311051324,Greater Brisbane,Cornubia - Carbrook,Queensland,"Cornubia - Carbrook, Queensland",-27.670333,153.2023867
311051325,Greater Brisbane,Loganholme - Tanah Merah,Queensland,"Loganholme - Tanah Merah, Queensland",-27.6778649,153.1748412
311051326,Greater Brisbane,Loganlea,Queensland,"Loganlea, Queensland",-27.6755249,153.1310508
311051327,Greater Brisbane,Shailer Park,Queensland,"Shailer Park, Queensland",-27.650829,153.1835047
311051328,Greater Brisbane,Waterford West,Queensland,"Waterford West, Queensland",-27.6860709,153.1205271
311061329,Greater Brisbane,Daisy Hill,Queensland,"Daisy Hill, Queensland",-27.6361016,153.1548339
311061330,Greater Brisbane,Kingston (Qld.),Queensland,"Kingston (Qld.), Queensland",-27.6584234,153.1169973
311061331,Greater Brisbane,Logan Central,Queensland,"Logan Central, Queensland",-27.640843,153.1075126
311061332,Greater Brisbane,Rochedale South - Priestdale,Queensland,"Rochedale South - Priestdale, Queensland",-27.5969738,153.1326618
311061333,Greater Brisbane,Slacks Creek,Queensland,"Slacks Creek, Queensland",-27.6396346,153.1266005
311061334,Greater Brisbane,Springwood,Queensland,"Springwood, Queensland",-27.6158977,153.1374713
311061335,Greater Brisbane,Underwood,Queensland,"Underwood, Queensland",-27.6020699,153.1110079
311061336,Greater Brisbane,Woodridge,Queensland,"Woodridge, Queensland",-27.6290285,153.1094944
313011362,Greater Brisbane,Beachmere - Sandstone Point,Queensland,"Beachmere - Sandstone Point, Queensland",-27.0755135,153.1430608
313011363,Greater Brisbane,Bribie Island,Queensland,"Bribie Island, Queensland",-26.9861003,153.1325243
313021364,Greater Brisbane,Burpengary - East,Queensland,"Burpengary - East, Queensland",-27.1415653,152.9997861
313021365,Greater Brisbane,Caboolture,Queensland,"Caboolture, Queensland",-27.0849748,152.9515862
313021366,Greater Brisbane,Caboolture - South,Queensland,"Caboolture - South, Queensland",-27.0942835,152.9496905
313021367,Greater Brisbane,Elimbah,Queensland,"Elimbah, Queensland",-27.0260246,152.9628819
313021368,Greater Brisbane,Morayfield - East,Queensland,"Morayfield - East, Queensland",-27.1053809,152.9476706
